X,Y,Keys
1710,535,0
1710,534,0
1710,533,0
1710,532,0
1710,531,0
1710,530,0
1710,529,0
1710,528,0
1710,526,0
1710,524,0
1710,522,0
1710,520,0
1710,518,0
1711,516,3
1712,514,3
1713,512,3
1714,510,3
1716,508,3
1718,506,3
1720,504,3
1723,502,3
1726,500,3
1729,498,3
1733,496,3
1737,495,3
1741,494,3
1745,493,3
1749,493,3
1754,493,3
1759,493,3
1764,494,3
1769,495,3
1774,497,3
1779,499,3
1784,502,3
1789,505,3
1793,509,3
1797,513,3
1801,518,3
1805,523,3
1808,529,3
1811,535,3
1813,541,3
1815,548,3
1816,555,3
1817,562,3
1817,569,3
1816,576,3
1815,584,3
1813,592,3
1810,599,3
1807,607,3
1804,615,3
1801,623,0
1798,631,0
1795,639,0
1792,647,0
1789,655,0
1786,664,0
1783,673,0
1780,682,0
1777,691,0
1774,700,0
1771,709,0
1768,718,0
1765,728,0
1761,738,0
1757,748,0
1753,758,0
1749,768,0
1745,778,0
1741,788,0
1737,799,0
1734,810,0
1732,821,0
1731,833,2
1731,845,2
1732,857,2
1734,869,2
1737,881,2
1741,892,2
1746,903,2
1752,913,2
1759,923,2
1767,932,2
1775,940,2
1784,948,2
1794,955,2
1804,961,2
1815,966,2
1826,970,2
1838,973,2
1850,975,2
1862,976,2
1870,976,2
1872,975,2
1870,973,2
1868,970,2
1866,966,2
1865,961,2
1864,955,2
1864,948,2
1864,940,2
1864,932,2
1865,923,2
1866,913,2
1867,903,2
1868,892,2
1870,881,2
1872,869,2
1874,857,2
1875,845,2
1875,833,2
1874,821,2
1872,809,2
1869,797,2
1865,786,2
1860,775,2
1854,765,2
1848,755,2
1842,745,2
1836,735,0
1830,725,0
1824,715,0
1818,705,0
1812,695,0
1806,685,0
1800,675,0
1794,665,0
1788,655,0
1782,645,0
1776,635,0
1770,625,0
1764,615,0
1758,605,0
1752,595,0
1746,585,0
1740,575,0
1734,565,0
1728,555,0
1722,545,0
1716,535,0
1710,525,0
1704,515,0
1698,505,0
1692,495,0
1686,485,0
1680,475,0
1674,465,0
1668,455,0
1662,445,0
1656,435,0
1650,425,0
1644,415,0
1638,405,0
1632,395,0
1626,385,0
1620,375,0
1614,365,0
1608,355,0
1602,345,0
1597,336,4
1592,327,4
1587,318,4
1582,310,4
1577,302,4
1573,294,4
1569,287,4
1565,280,4
1561,273,4
1557,267,4
1554,261,4
1551,255,4
1548,250,4
1545,245,4
1542,240,4
1540,236,4
1538,232,4
1536,229,4
1534,226,4
1532,223,4
1531,221,4
1530,219,4
1529,217,4
1528,216,4
1527,215,4
1527,214,4
